id,document,tag,content
13,01 Sep 1921 - PRISON CHANGES..pdf.txt,closing and moving to mainland,The question of closing St. Helena and removing the prisoners to a mainland prison had been raised.
14,01 Sep 1921 - PRISON CHANGES..pdf.txt,closing and moving to mainland,it should be closed and a suitable prison erected in a district where good agricultural land was available.
15,01 Sep 1921 - PRISON CHANGES..pdf.txt,closing and moving to mainland,The island was not the best place for a prison because it was a most costly place to administer.
52,05 Feb 1911 - DE PROFUNDIS..pdf.txt,closing and moving to mainland,"Many yachtsmen and men of the more or less leisured class - if therc be such a class outside the Tired Tim and mooch-about fraternity— would, metaphorically speaking, move heaven and earth to have the prisoners shifted from St. Helena and to turn that admittedly beautiful spot into sort of Coney Island pleasure ground."
53,05 Feb 1911 - DE PROFUNDIS..pdf.txt,closing and moving to mainland,the proximity of the island to Brisbane as an important and (to them) a con-vincing argument in its favor.
440,Boggo Road Gaol Historical Society_St Helena Islan,closing and moving to mainland,"Despite its relative success, St Helena was considered by some officials to be unsuitable for the appropriate classification of prisoners."
441,Boggo Road Gaol Historical Society_St Helena Islan,closing and moving to mainland,"Following the decision in 1921 to use both divisions of Boggo Road for male prisoners, St Helena became a prison farm after long-term inmates prisoners were transferred to the metropolitan prison. St Helena eventually closed in December 1932."
464,Brismania_2019_Day 148.pdf.txt,closing and moving to mainland,"closed in 1932 when, during the great Depression, it simply became unviable to keep it open. Production had dropped away during World War I when prisoners had to return to the mainland to cover for young men shipped off to the European battlefields. In addition, Boggo Road, which had been used as HM Prison for Women, had also been taking male prisoners since 1903."
494,"Department of Environment and Science_2005_Nature,",closing and moving to mainland,"proclaimed in May 1867 and was a high security prison for long-term inmates until the 1920s, when it was decided to wind down the prison. It then functioned as a prison farm until it closed in December 1932."
502,"Department of Environment and Science_2005_Nature,",closing and moving to mainland,"Families were removed from the island in the 1890s, causing dissatisfied warders to live apart from them for up to six weeks at a time. The age of the buildings made them a fire hazard, while their 19 th century design did not accommodate new ideas for prisoner reform."
503,"Department of Environment and Science_2005_Nature,",closing and moving to mainland,"From the 1920s, St Helena became a prison farm. Long-term prisoners were transferred to Boggo Road Gaol while the remaining prisoners dismantled the prison buildings. The prison was finally closed in December 1932."
521,"Greenhill_2022_St Helena, formerly “the hell hole",closing and moving to mainland,"once an example of a most successful prison institution, by 1920, problems were arising. The prison was ageing. There was the danger of fire. The buildings were of 19th-century design and did not accommodate new ideas in prison reform. Families of the warders had been moved to the mainland by 1890, which caused dissatisfaction amongst the staff."
