Key,Item Type,Publication Year,Author,Title,Url,Abstract Note,Date,Short Title,Series,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Manual Tags,Automatic Tags,Medium,Artwork Size
EZPWRTU9,artwork,1920,Brisbane City Council,Aerial photograph of St Helena prison in the 1920s,https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23184/0,"Birds eye view looking north.  Closest to camera on hill above mangroves are the warders' quarters.  Following the road from there the Chief Superintendent's residence and gardens can be see through the trees.   Further along on the beach side is the chief warder's residence.   The large number of buildings close together comprised the stockade and below this, on the flats, are the dairy and pig and sheep yards.",1920,Aerial photograph 1920s,,Brisbane City Council,asset 23184,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-67,"<a href=""https://imgur.com/l8MqpTA""><img src=""https://i.imgur.com/l8MqpTA.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0067.jpg (JPEG Image, 5078 × 3896 pixels) – Scaled (13%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that the image is post-1903, as it was taken from an airplane. The only vegetation looks to be around a few of the buildings and to the far left, where it appears denser. </p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/l8MqpTA.jpg"" alt="""" data-attachment-key=""CTA3T3LN"" width=""5078"" height=""3896""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There is open space and a large complex. There is a horseshoe-shaped road, which leads around to a cluster of buildings. There is possibly a creek/river to the right of the image, I can’t really tell.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>It looks like a survey or surveillance shot. Could be to assess the size of the penal establishment or determine if it would be a good position for an army in a war.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It’s definitely spontaneous as when you’re in a plane you can’t stage a photo, it happens in real-time.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>Post-1903, as it was taken from an airplane.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The focus of the photo is the penal establishment, and not the surrounding water or land.</p> </div>",C:\Users\Trudy\Zotero\storage\Y6LC3J7Y\Brisbane City Council - 1920 - Aerial photograph of St Helena prison in the 1920s.html,Brisbane; St Helena; Moreton Bay; prison; ariel; from the air; plane; island; stockade; black and white; photo; Noogoon,,"photo,  b&w",w233xh179
PUUMBWMG,artwork,1951,National Library of Australia,"Australia's St Helena, Queensland hell hole of the Pacific",https://catalogue.nla.gov.au/Record/1414022,"Men dragged out their lives in leg-irons,   carried marks of the lash to the grave, in   this Queensland hell-hole of the Pacific",1951,Australia's St Helena,,National Library of Australia,nla.obj-432896437,Periodicals,Nq 059.4 PIX,"<a href=""https://imgur.com/2nwCp8v""><img src=""https://i.imgur.com/2nwCp8v.jpg"" title=""source: imgur.com"" /></a> Vol. 26 No. 6 (10 February 1951) Later Title: People (Broadway, N.S.W.) 0031-4978","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is of items the prisoners would have been familiar with. Items range from dice to a straitjacket. Seeing items with which prisoners hung themselves, knives they stabbed themselves with, and a bottle with tips of fingers they cut off to go to the hospital, shows desperation and hopelessness. The items grouped together like they are, with explanations for each item has far more of an impact than if the items were displayed singularly.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/2nwCp8v.jpg"" alt="""" data-attachment-key=""8LS86RHS"" width=""713"" height=""963""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>A strait jacket, rope, knife, leg irons, cannonball, dice, tools, waist belt, keys, and a body belt.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>A display of items the prisoners would have been familiar with, to show people in more modern times.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is staged as everything is arranged for the picture.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>It is really hard to tell from the</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The information cards are in the background and the items on display are in the foreground.</p> </div>","C:\Users\Trudy\Zotero\storage\S7X59CYA\National Library of Australia - 1951 - Australia's St Helena, Queensland hell hole of the.html; C:\Users\Trudy\Zotero\storage\QFX9M2LA\National Library of Australia_1951_Australia's St Helena, Queensland hell hole of the Pacific.pdf",Brisbane; St Helena; Moreton Bay; prison; island; handcuffs; PIX; tools; rope; sisal; cannon shot; body belt; spun yarn; keys; knife; straight jacket; leg irons; lash; hell hole; shiv; dice,,"photo,  b&w",na
QMHNVVIQ,artwork,1915,Brisbane City Council,"Backview of stockade, St Helena Penal Establishment",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23186/0,"This view is taken from near the warders' barracks.  In the foreground are fields ready for crops. On the left behind the stockade wall is the blacksmith (two chimneys) and the carpenters shop.  Behind them is the long administration building.  Behind the admin building are the twin roofs of the double storeyed workshops.  In the middle of the stockade is the high guardhouse which was over the entrance.  On either side of this were two cell blocks.  In the right front corner joining onto the stockade wall was the lime store, then the food preparation are - kitchen, storeroom, bakery, and butchers and a room for salting and smoking meat.  To the right of the roadway was the chief superintendent's house and at the end of the roadway was the chief warder's residence.",1915,Backview of stockade 1915,,Brisbane City Council,asset 23186,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-66,"<a href=""https://imgur.com/vxAtK2b""><img src=""https://i.imgur.com/vxAtK2b.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0066.jpg (JPEG Image, 5078 × 3896 pixels) – Scaled (13%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a plantation or farming village. It has a very neat, tidy appearance. There are many large buildings with two clean, straight roads. There is a single figure which I take as being a male. For such a large quantity of buildings, there appear to be very few people. The field in the foreground looks ploughed but the plot behind the figure looks like it may have rows of something growing.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/vxAtK2b.jpg"" alt="""" data-attachment-key=""HYZKNYV8"" width=""5078"" height=""3896""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are many buildings, a man walking on a road, a freshly ploughed field, an irrigation channel, palm trees, and two cylindrical objects made from brick. Silo’s as they look too large to be chimneys.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>I think it was taken to showcase the space for crops that the penal establishment had.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>I think it was spontaneous as the figure seems to be mid-step and looks to be looking at the plot in front of him.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>It’s hard to tell. The only way to know is from the figure’s clothing however he is too far away to see clearly.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The foreground showcases the area available to grow crops. The background features large buildings behind a high fence, which clearly separates the two locations.</p> </div>","C:\Users\Trudy\Zotero\storage\854ZV4AH\Brisbane City Council - 1915 - Backview of stockade, St Helena Penal Establishmen.html",Brisbane; St Helena; prisoner; Moreton Bay; prison; farm; island; stockade; garden; vegetables; warder; buildings; road; palm; food; produce; export; labour,,"photo,  b&w",w233xh179
DSABWS8J,artwork,1912,Brisbane City Council,"Bootmaker's shop, H.M. Penal establishment, St Helena",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23161/0,The workshops were established within the stockade by 1879.   Long term prisoners were taught a trade in the workshops while short-term prisoners worked in the fields.  The island was largely self-sufficient and excess items were sold to government departments.   The boot-makers and saddlers produced a range of items from shoelaces to saddles.   Government regulations did not allow photographing prisoners' faces.,1912,Bootmaker's shop,,Brisbane City Council,asset 23161,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-61,"<a href=""https://imgur.com/sZnL2lj""><img src=""https://i.imgur.com/sZnL2lj.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0061.jpg (JPEG Image, 5078 × 3896 pixels) – Scaled (13%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is an industrious scene. Men are busy at work making shoes, as there are shoe lasts and shapers on the wall. There are two saddles, but it is not clear whether saddles are being made or stored while the men are at work. The building they are in is large and airy from the many windows shown. </p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/sZnL2lj.jpg"" alt="""" data-attachment-key=""LUPFM3TW"" width=""5078"" height=""3896""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are prisoners, tools, a watering can, and a grinding wheel. And there are shoe lasts and sharpers on the wall. There are two saddles, but it is not clear whether the saddles are being made or stored while the men are at work. The men are wearing a uniform, with three men having clearly visible numbers on the back of their shirts. There is a supervisor-looking man in the distance of the photo, who is the only man facing the camera.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>I think the picture was taken to show how prisoners are used as free labour (Taylor 2010). The men are shown busily working, doing their day’s work, and learning new skills (Queensland Government 2015).</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>I think the photo is staged to present the workshop in the best light. Everyone has their back turned when most people would have looked toward the camera, especially in those days when photography was new and a novelty.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>I think it is sometime before or around 1882 as the grinding wheel would indicate no electricity. Also, there are no lights hanging from the roof. I say before or around 1882 because electricity was supplied to Brisbane in 1882 (Scholz Electrical 2021).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>There is a warder in the background, facing toward the camera, the only man to do so. The men in the foreground are standing, while some men in the background are sitting.</p> </div>","C:\Users\Trudy\Zotero\storage\S6RIHRS7\Brisbane City Council - 1912 - Bootmaker's shop, H.M. Penal establishment, St Hel.html",Brisbane; St Helena; Moreton Bay; prison; island; tools; warder; export; work; boot shop; labour; boot maker; saddle; grindstone; hats; building; prisoner number; uniform; workshop; windows,,"photo,  b&w",w233xh179
BR3HVGGE,artwork,1894,CyArk,"Building plan, St Helena",https://www.cyark.org/projects/st-helena-island-national-park/in-depth,"Building plan showing prisoners cells, buildings, workshops, stockade fence In 1867, the overcrowding of Brisbane prisons drove the decision for the St Helena quarantine station to be converted into a prison, with prisoners being transferred from the prison hulk to the island and Proserpine’s Captain John McDonald becoming St Helena’s first Superintendent.",1894,Building plan,,Fort Lytton Collection,Unknown,A model colonial-era prison,Unknown,"<a href=""https://imgur.com/uXGg2Vs""><img src=""https://i.imgur.com/uXGg2Vs.jpg"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that this is a plan for a community (I am ignoring the caption at the bottom of the picture). I notice everything is very straight, I cannot see a curve anywhere. There are tram lines, with wings, so could be a military compound. I sense that the area is large or isolated as it has its own hospital, church, school, butcher shop, and bakery. It is not until I see the words cell and warder that I know it’s a prison.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/uXGg2Vs.jpg"" alt="""" data-attachment-key=""F5IDMVUT"" width=""1500"" height=""1246""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are symmetrical yards and grass plots, tram lines, building “wings”, a hospital, a church, a school, a butcher shop, and a bakery. There is a space allotted for workshops for the blacksmith, carpenters, and painters.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>It’s a plan for how the stockade at the penal establishment would be layed out.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is a plan so staged.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>Pre 1939s because of the language, “lumber”, and “dispensary”.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The plan is scaled with everything to its proportion.</p> </div>","C:\Users\Trudy\Zotero\storage\L7LTB8AF\CyArk - 1894 - Ground plan showing Prisoners Cells, Buildings, Wo.html",Technology; archaeology; Queensland; St Helena; Moreton Bay; prison; island; building; plan; model,,photo of a plan,na
SKQ667F8,artwork,1915,Brisbane City Council,"Corridor 'D' Wing, St Helena Penal Establishment",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23182/0,There were four wings of prisoners' cells.  C and D wings were for single prisoners.  Each cell in D wing measured 9x5x12 feet.   The prisoners slept in hammocks.,1915,Corridor 'D' Wing 1915,,Brisbane City Council,asset 23182,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-68,"<a href=""https://imgur.com/owVwJw7""><img src=""https://i.imgur.com/owVwJw7.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0068.jpg (JPEG Image, 5078 × 3896 pixels) – Scaled (13%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that a man in light clothes is walking down a corridor or standing in the corridor, his arms are by his side as the photo is taken. There appear to be many identical doorways, with numbers above each so I get the impression a lot of people live or work here. </p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/owVwJw7.jpg"" alt="""" data-attachment-key=""BXWEG7RQ"" width=""5078"" height=""3896""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There is a prisoner in a hallway. The floors, walls, and roof look to be made from timber. The roof is high with a circular hole cut out of it which is odd. There are a lot of small windows near the roof. It could be the angle of the image, but the doorways appear to me to be narrow, again, odd.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>I think the photo was taken to show the inside of the prison. Possibly to show how clean and modern it was.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>I think it was staged. The prisoner is standing still in the middle of the picture and hallway. It may not even be a prisoner. It may be a warder dressed as a prisoner for the photo.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>It is sometime between 1882 and 1932, probably closer to the 1882 period. The timber in a tongue-and-groove fashion seems old to me, and I think I can make out a light hanging from the roof. Electricity reached Brisbane in 1882 (Scholz Electrical 2021).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The camera is slightly pointing to the left, the photo doesn’t shoot straight down the hallway. This allows a better view of the cell door and the number in the foreground. You even get a look at the internal wall of cell nine. The doorways merge into being just the wall in the background.</p> </div>","C:\Users\Trudy\Zotero\storage\W4ZNF34S\Brisbane City Council - 1915 - Corridor 'D' Wing, St Helena Penal Establishment (.html",Brisbane; St Helena; Moreton Bay; prison; island; uniform; corridor; cells; cell number; hole in the roof; windows; doors; no bars,,"photo,  b&w",w233xh179
K3B7WLNA,artwork,2021,Queensland State Archives,Escape from St Helena Island,https://www.archivessearch.qld.gov.au/items/ITM519924,One of the greatest escape attempts lasted 11 days and was carried out by two prisoners: Henry Craig and David McIntyre.,13/07/1905,Escape from St Helena,,Queensland State Archives,SRS798/1/18,Queensland Police Gazettes,ITM519924,"<a href=""https://imgur.com/foHDNU8""><img src=""https://i.imgur.com/foHDNU8.png"" title=""source: imgur.com"" /></a> VOL 48/NO 1 - VOL 48/NO 84","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a mugshot of two men. The top man has “J Jones” with his picture which is what I am guessing is his name and not the photographers, as the bottom man does not have this. But why doesn’t the bottom man have this? Perhaps because the top man is from a few years after the bottom man. The top man has his prison number, 58.10, while the bottom man is 25. The later man again has a different numbering system than the earlier prisoner. The top mans eyes look fierce and angry while the bottom mans eyes are softer.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/foHDNU8.png"" alt="""" data-attachment-key=""LEMKRQCM"" width=""375"" height=""613""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>Mugshots of two men who attempted to escape St Helena.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To show the faces of the two men who unsuccessfully tried to escape, Henry Craig and David McIntyre (Queensland State Archives 2021).</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is staged as they are mugshots taken by the police.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>Around the 16 November 1911, the two mugshots would have placed together like they are as that is when they handed themselves in (Queensland State Archives 2021). The original photos were taken in 1910 and 1906, as per the mugshots.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>It is a mugshot of faces, front on and profile.</p> </div>",C:\Users\Trudy\Zotero\storage\BM8LDRWR\Queensland State Archives - 2021 - Escape from St Helena Island.html,Brisbane; St Helena; Moreton Bay; prison; island; prisoner number; escape; mug shot; J Jones; face; head shot,,"photo,  b&w",w316xh512
7QB2UVKR,artwork,1893,State Library of Queensland,Freed unionist shearers following the 1891 shearers' strike,https://hdl.handle.net/10462/deriv/132229,"This is a black-and-white poster showing 13 shearers who had been jailed in 1891 during the central Queensland Shearers' Strike. Across the top of the poster, in large letters, is printed 'FREEDOM WITHOUT DISHONOUR' and 'UNIONIST PRISONERS'. The poster goes on to identify each man individually as having been sentenced at Rockhampton for causes connected to the 1891 'Bush Strike'.",1893,Shearers jailed for striking 1891,,State Library of Queensland,"Record number 21218184060002061, 99183505879202061",State Library of Queensland,Negative number: 64845.,"<a href=""https://imgur.com/lexbLqi""><img src=""https://i.imgur.com/lexbLqi.jpg"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a poster of a group of men, outdoors, sitting on a set of stairs. They are all well-dressed, and a few have suits on. The writing informs that they are released, union prisoners. Sentenced in Rockhampton. All men have facial hair, except one, which is typical of the time period.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/lexbLqi.jpg"" alt="""" data-attachment-key=""Z83NF6R7"" width=""1100"" height=""1949""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>A group of men, outdoors, sitting on a set of stairs. A banner is above and names below.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>I think it was taken because the shearers wanted people to know that they had been released, and they still stand united as unionists and for the cause. “One of these, William Hamilton, was later to become Member of the Legislative Assembly for Gregory, Minister for Mines and President of the Legislative Council of Queensland” (Queensland Government 2015).</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is staged as they are sitting closely, posing for the camera.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>Around the turn of the 19<sup>th</sup>/20<sup>th</sup> century. There clothes are from that era, and all but one has facial hair popular at that time. Four of the men have on ties, similar to todays ties, which were not popular until the 1915-1920 era (Hendrik 2013).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The group is in the foreground and there are some trees and a building in the background.</p> </div>",C:\Users\Trudy\Zotero\storage\2PEI5QVV\State Library of Queensland - 1893 - Freed unionist shearers following the 1891 Shearer.html,Brisbane; St Helena; Moreton Bay; prison; island; black and white; strike; shearer; freed; released; group shot; pho; hat; unionist; Rockhampton,,"poster,  b&w",w1100xh1949
VZ4L4HCT,artwork,1887,Moreton Bay Police,General record and description of male prisoners,https://www.archivessearch.qld.gov.au/items/ITM271423,"Contains information about prisoners. Height, weight etc offence, where and when etc notes of behaviour while a prisoner",1887,General record and description of male prisoners,,Queensland State Archives,"3330 to 4212 (with many gaps), 4808-5398",General Records and Description of Prisoners,ITM271423,"<a href=""https://imgur.com/CbLRxsb""><img src=""https://i.imgur.com/CbLRxsb.png"" title=""source: imgur.com"" /></a> page 512. Previous System Identifiers A/18577; RSI925/1/1; SRS7301; A1 Item ID 271423","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a photo of a document from the General Record and Description of Prisoners book, page 512. It has the prisoner’s name, Henry Craig, and his alias. All of his particulars are recorded as well as any previous convictions. In red ink, it has a number corresponding to what number photo he is in a record. It has dates, details, and punishments given of any misdemeanors while in prison, as well as his discharge details.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/CbLRxsb.png"" alt="""" data-attachment-key=""YDKRXQ2U"" width=""469"" height=""697""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>A photo of a document from the General Record and Description of Prisoners book, page 512.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To show what was recorded on prisoners’ files. Each one of these forms is completed at Brisbane Gaol before the prisoner is sent to St Helena (Unknown 20 March 1878).</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is planned as it’s a purposeful photo of a page of a book.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>1906 as it is written on the admission line.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>It is a photo of a page in a book.</p> </div>",C:\Users\Trudy\Zotero\storage\2H7MP8NY\Moreton Bay Police - 1887 - General record and description of male prisoners.html,record; Queensland; St Helena; Moreton Bay; island; pison; paper; form; official; description; details; conduct,,"photo, coloured",w680xh1024
YIVEMRAM,artwork,1890,Brisbane City Council,"Land under cultivation, St. Helena penal establishment",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23407/0,"Looking south/southwest from the hill towards the sugar mill, across the vegetable gardens.  The high wooden fence on the right is the southeast side of the stockade which encircled the stone buildings.",1890,Land cultivation,,Brisbane City Council,asset 23407,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-1,"<a href=""https://imgur.com/PIvugqS""><img src=""https://i.imgur.com/PIvugqS.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0001.jpg (JPEG Image, 5078 × 3542 pixels) – Scaled (14%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it looks like a farm. It seems very neat, tidy, and organised. The roads seem exceptionally clean and straight. There are a lot of straight lines in the whole image. </p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/PIvugqS.jpg"" alt="""" data-attachment-key=""5GFIE6JX"" width=""5078"" height=""3542""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are buildings behind a fence and an industrial-looking building in the distance. There are two figures in the fields, one with a horse. There are paddocks, and I’m not sure what the white structure is.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>It may have been taken as a means to promote and report back on the success of the prison without walls camp (Taylor 2010). This idea combined the need for self-sufficiency and free farm labour (Taylor 2010; Unknown 20 March 1878). This image shows prisoners working the open fields, not chained or with a warder in sight.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>I think it has been staged. The two prisoners look to be standing still. One does not have any tools or water buckets, and the other is standing in front of a horse, looking forward or back, not on the side as would expect if walking the horse.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>It came from the period sometime between 1913 and 1932. I can tell this because the prison without walls idea did not take hold until around 1913 (Taylor 2010), and St Helena Prison closed in 1932 (Alfredson 1983).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>Something is growing in the foreground. The large industrial building and chimney are in the background. The photo looks to be attempting to show as much of the farm as possible.</p> </div>","C:\Users\Trudy\Zotero\storage\5CUPQWXD\Brisbane City Council - 1890 - Land under cultivation, St. Helena penal establish.html",Queensland; St Helena; prison; QLD; farm; Sugarcane industry,,"photo,  b&w",w266xh186
