PlaceReference,Status,Name,Address,LGA
600789,Entered,"'A' Block, Central Queensland Institute of Technical and Further Education (TAFE) Rockhampton Campus","Bolsover Street, Rockhampton","Rockhampton Regional Council"
600090,Entered,"109 Edward Street","117 Edward Street, Brisbane City","Brisbane City Council"
601515,Entered,"138 Flinders Parade, Sandgate","138 Flinders Parade, Sandgate","Brisbane City Council"
600131,Entered,"138 Mary Street","138 Mary Street, Brisbane City","Brisbane City Council"
600132,Entered,"169 Mary Street","169 Mary Street, Brisbane City","Brisbane City Council"
600308,Entered,"19 Gloucester Street","19 Gloucester Street, Spring Hill","Brisbane City Council"
600902,Entered,"223 Flinders Street, Townsville","221-223 Flinders Street, Townsville","Townsville City Council"
600468,Entered,"27 Atherton Road, Yungaburra","27 Atherton Road, Yungaburra","Tablelands Regional Council"
601284,Entered,"4BU Radio Station (former)","55 Woongarra Street, Bundaberg","Bundaberg Regional Council"
602193,Entered,"5 Lynch Street","5 Lynch Street, Ingham","Hinchinbrook Shire Council"
601353,Entered,"6 (390) Australian Anti-Aircraft Battery","214 - 228 Fleming Road, Hemmant","Brisbane City Council"
600160,Entered,"62 Queen Street","62 Queen Street, Brisbane City","Brisbane City Council"
600480,Entered,"7-9 Cedar Street, Yungaburra","7-9 Cedar Street, Yungaburra","Tablelands Regional Council"
600102,Entered,"93-103 Edward Street","93-103 Edward Street, Brisbane City","Brisbane City Council"
602511,Entered,"99 Grafton St","99 Grafton Street, Cairns","Cairns Regional Council"
601772,Entered,Aberfoyle,"35 Wood Street, Warwick","Southern Downs Regional Council"
602487,Entered,"Acacia Ridge Air Raid Shelter","174 Mortimer Road, Acacia Ridge","Brisbane City Council"
602599,Entered,"Acland No. 2 Colliery (former)","2 Francis Street, Acland","Toowoomba Regional Council"
600560,Entered,"Action Realty","93 Brisbane Street, Ipswich","Ipswich City Council"
600381,Entered,"Adelaide Steamship Co Ltd (former)","37 Lake Street, Cairns","Cairns Regional Council"
645613,Entered,"Adolphus William Copper Smelter and Dee Township","C/- ""Copper Hills"", Mount Morgan","Rockhampton Regional Council"
600913,Entered,"Agora House","224 Flinders Street, Townsville","Townsville City Council"
600232,Entered,"Albert Bridge","Brisbane River between Indooroopilly and Chelmer, Indooroopilly","Brisbane City Council"
602473,Entered,"Albert Park (North) air raid shelter","Wickham Terrace, Spring Hill","Brisbane City Council"
602474,Entered,"Albert Park (South) Air Raid Shelter","Upper Albert Street, Brisbane City","Brisbane City Council"
601525,Entered,"Albert State School","210-220 Albert Street, Maryborough","Fraser Coast Regional Council"
600066,Entered,"Albert Street Uniting Church","319 Albert Street, Brisbane City","Brisbane City Council"
602246,Entered,"Albion Fire Station (former)","40-46 Bridge Street, Wooloowin","Brisbane City Council"
602668,Entered,Aldborough,"25 Deane Street, Charters Towers","Charters Towers Regional Council"
601317,Entered,"Alexandra Building","451-455 Ruthven Street, Toowoomba","Toowoomba Regional Council"
600429,Entered,"Alexandra Mine and Battery","Palmerville Station, Maytown","Cook Shire Council"
600799,Entered,"Alexandra Railway Bridge","Adjacent to North Street, Rockhampton","Rockhampton Regional Council"
602690,Entered,"Alfredson's Joinery, Pre-Cut House Workshop and Sawmill (former)","28 King Street, Cooran","Noosa Shire Council"
600200,Entered,"All Hallows' Convent and School","547 Ann Street, Fortitude Valley","Brisbane City Council"
600722,Entered,"All Saints Anglican Church and cemetery Yandilla","Gore Highway, Yandilla","Toowoomba Regional Council"
600168,Entered,"All Saints Anglican Church","32 Wickham Terrace, Spring Hill","Brisbane City Council"
600873,Entered,"All Saints Anglican Church","Darnley Island, Darnley Island","Torres Strait Island Regional Council"
600030,Entered,"All Saints Memorial Church","Tamrookum Church Road, Tamrookum","Scenic Rim Regional Council"
650225,Entered,"Allan Cunningham Monument","Cunningham Highway (Ipswich to Warwick), Cunningham's Gap, Tarome","Southern Downs Regional Council"
601934,Entered,"Allan Slab Hut","Warrah Road, Duckinwilla","Fraser Coast Regional Council"
650092,Entered,"Allan State School (former)","280 Sandy Creek Road, Allan, Warwick","Southern Downs Regional Council"
650232,Entered,"Allenstown State School","Upper Dawson Road, Allenstown","Rockhampton Regional Council"
601141,Entered,"Alley Family Graves","113 Gillies Range Road, Gordonvale","Cairns Regional Council"
600295,Entered,"Allgas Building","South Bank Parklands, South Brisbane","Brisbane City Council"
602329,Entered,"Allison Testing Stands (former)","116 Lamington Avenue, Eagle Farm","Brisbane City Council"
602153,Entered,"Allora Cemetery","Allora Clifton Road, Allora","Southern Downs Regional Council"
600486,Entered,Allumbah,"7 Mulgrave Road, Yungaburra","Tablelands Regional Council"
601358,Entered,"AMA House","188 L'Estrange Terrace, Kelvin Grove","Brisbane City Council"
650009,Entered,"Ambulance Building (former)","157 Gill Street, Charters Towers","Charters Towers Regional Council"
600264,Entered,Amity,"101 Welsby Street, New Farm","Brisbane City Council"
601593,Entered,Amla,"49 Jessie Street, Rockhampton","Rockhampton Regional Council"
600794,Entered,"AMP Building (former)","183 East Street, Rockhampton","Rockhampton Regional Council"
600787,Entered,"AMV Warehouse","Bolsover Street, Rockhampton","Rockhampton Regional Council"
600537,Entered,"Andrew Fishers Cottage","215 Brisbane Road, Monkland","Gympie Regional Council"
600756,Entered,"Angellala Rail Bridge","Roma - Cunamulla Line, Angellala Creek","Murweh Shire Council"
601263,Entered,"Anglican Church of the Good Shepherd","615 Brookfield Road, Brookfield","Brisbane City Council"
600982,Entered,"Anglo Saxon Mine and Groganville Township","TO BE DETERMINED, Groganville","Mareeba Shire Council"
602598,Entered,"Animal Research Institute (former)","681 Fairfield Road, Yeerongpilly","Brisbane City Council"
600071,Entered,"Ann Street Presbyterian Church","141 Ann Street, Brisbane City","Brisbane City Council"
600417,Entered,"Annan River Bridge","Development Road, Annan River","Cook Shire Council"
602216,Entered,"Annerley Army Reserve Depot (former)","158 Dudley Street, Annerley","Brisbane City Council"
